ID,Year_Birth,Age,Education,Marital_Status,Income,Kidhome,Teenhome,TotalChildren,Dt_Customer,Recency,AmtLiq,AmtVege,AmtNonVeg,AmtPes,AmtChocolates,AmtComm,AmtTotal,NumDeals,NumWebBuy,NumWalkinPur,NumVisits,Response,Complain,Country,Count_success
2681,1985,41,Postgraduate,Married,65370,0,0,0,01/08/2013,1,71,22,112,138,89,29,461,1,2,13,1,0,0,Spain,0
10141,1961,65,Masters Degree,Divorced,39228,0,0,0,10/05/2013,1,7,1,6,0,3,3,20,1,0,3,4,0,0,South Africa,0
3725,1962,64,Doctorate (PhD),Single,84865,0,0,0,09/05/2013,1,1248,16,349,43,16,16,1688,1,2,9,4,1,0,Spain,4
3767,1969,57,Bachelors Degree,Married,61314,0,1,1,25/04/2013,1,378,0,189,97,172,172,1008,2,5,12,3,0,0,Spain,0
5585,1973,53,Bachelors Degree,Single,21359,1,0,1,20/04/2013,1,12,2,17,6,1,10,48,2,2,3,8,1,0,Canada,0
7030,1956,70,Doctorate (PhD),Married,66465,0,1,1,30/03/2013,1,1200,0,204,38,29,14,1485,3,11,12,6,0,0,Spain,1
1524,1984,42,Postgraduate,Single,81698,0,0,0,01/03/2013,1,709,45,115,30,160,45,1104,1,8,5,5,1,0,Spain,1
3657,1987,39,Bachelors Degree,Single,39146,1,0,1,14/02/2013,1,94,1,33,13,12,12,165,3,4,4,8,0,0,Spain,0
5740,1971,55,Postgraduate,Divorced,25959,1,1,2,14/02/2013,1,4,2,12,7,5,26,56,2,1,2,6,1,0,Spain,0
9595,1962,64,Bachelors Degree,Cohabiting,64260,0,0,0,11/01/2013,1,539,169,816,20,0,30,1574,1,4,4,3,1,0,Spain,0
3158,1974,52,Bachelors Degree,Married,32300,1,0,1,03/01/2013,1,13,3,6,6,5,6,39,1,1,3,8,0,0,Spain,0
5114,1966,60,Masters Degree,Married,74806,0,1,1,19/12/2012,1,670,9,249,0,28,9,965,2,5,5,4,0,0,Australia,0
340,1971,55,Bachelors Degree,Divorced,72967,0,1,1,15/12/2012,1,158,35,179,0,0,125,497,2,7,8,5,1,0,Germany,1
8805,1961,65,Bachelors Degree,Single,48904,0,1,1,02/12/2012,1,283,10,38,0,13,27,371,4,7,4,8,0,0,United States,0
1241,1985,41,Postgraduate,Married,14796,1,0,1,17/09/2012,1,13,3,8,7,4,16,51,2,1,3,9,1,0,Germany,0
1402,1955,71,Masters Degree,Married,66991,0,0,0,11/09/2012,1,496,36,460,189,60,12,1253,3,4,6,3,0,0,Germany,0
7264,1979,47,Postgraduate,Single,52195,2,1,3,12/05/2014,2,12,0,4,0,0,1,17,1,1,2,8,0,0,South Africa,0
1619,1957,69,Bachelors Degree,Married,90369,0,0,0,28/04/2014,2,292,51,981,224,23,17,1588,1,4,6,1,1,0,Spain,0
6398,1975,51,Secondary Education,Married,18393,1,0,1,29/03/2014,2,7,10,13,16,0,4,50,2,3,3,8,0,0,Spain,0
1857,1953,73,Bachelors Degree,Single,47139,1,1,2,06/03/2014,2,46,0,12,0,2,23,83,2,2,2,7,1,0,Spain,0
4877,1974,52,Masters Degree,Married,38576,0,1,1,04/03/2014,2,34,0,7,0,0,0,41,1,1,3,7,0,0,India,0
3066,1976,50,Doctorate (PhD),Cohabiting,61905,0,1,1,04/02/2014,2,167,0,43,6,2,13,231,2,4,4,5,0,0,South Africa,0
10286,1963,63,Bachelors Degree,Married,83715,0,0,0,03/02/2014,2,318,8,407,150,35,8,926,1,2,13,0,0,0,South Africa,0
1992,1965,61,Bachelors Degree,Married,60597,0,1,1,01/01/2014,2,522,0,257,32,16,66,893,4,2,8,7,1,0,Spain,1
4246,1983,43,Masters Degree,Single,6560,0,0,0,12/12/2013,2,67,11,26,4,3,262,373,0,1,1,17,0,0,Spain,0
10623,1962,64,Masters Degree,Cohabiting,48330,0,1,1,15/11/2013,2,28,0,4,0,0,0,32,1,1,3,5,0,0,Spain,0
4867,1969,57,Doctorate (PhD),Single,38236,1,1,2,20/09/2013,2,58,0,18,2,0,10,88,4,3,4,7,0,0,Spain,0
3112,1978,48,Masters Degree,Married,22701,1,0,1,05/09/2013,2,2,4,9,0,4,5,24,1,1,3,5,0,0,Spain,0
4865,1975,51,Masters Degree,Divorced,53367,1,1,2,31/08/2013,2,229,7,140,10,3,11,400,7,5,8,7,1,0,Australia,0
6287,1987,39,Bachelors Degree,Cohabiting,34728,1,0,1,30/07/2013,2,14,0,16,0,0,6,36,1,1,2,6,1,0,Spain,0
4405,1957,69,Masters Degree,Married,63915,0,2,2,30/07/2013,2,622,7,115,30,0,15,789,2,6,12,5,0,0,Australia,0
5332,1961,65,Postgraduate,Married,82504,0,0,0,27/07/2013,2,362,50,431,134,35,54,1066,1,3,7,1,0,0,India,0
1519,1973,53,Doctorate (PhD),Single,38578,1,1,2,22/06/2013,2,38,4,22,3,3,3,73,3,3,3,8,1,0,Spain,0
9080,1973,53,Doctorate (PhD),Single,38578,1,1,2,22/06/2013,2,38,4,22,3,3,3,73,3,3,3,8,0,0,Spain,0
1772,1976,50,Doctorate (PhD),Married,79174,0,0,0,11/01/2013,2,1074,37,518,193,92,129,2043,1,5,7,2,1,0,Canada,2
5341,1963,63,Postgraduate,Divorced,81975,0,1,1,05/01/2013,2,983,76,184,180,138,27,1588,1,6,4,7,0,0,South Africa,1
5510,1978,48,Masters Degree,Married,43263,0,1,1,21/11/2012,2,262,6,61,0,10,102,441,3,5,6,5,0,0,Spain,0
3887,1971,55,Bachelors Degree,Single,27242,1,0,1,11/11/2012,2,3,17,26,20,1,39,106,2,2,3,9,1,0,India,0
7022,1972,54,Bachelors Degree,Married,76445,1,0,1,28/09/2012,2,739,107,309,140,80,35,1410,1,2,13,6,0,0,South Africa,0
9999,1966,60,Bachelors Degree,Cohabiting,75276,0,0,0,27/09/2012,2,610,105,125,137,42,21,1040,1,9,9,5,0,0,Spain,0
10352,1964,62,Bachelors Degree,Widow,34213,1,1,2,07/09/2012,2,50,4,28,6,3,26,117,3,3,2,9,1,0,South Africa,0
7919,1977,49,Doctorate (PhD),Cohabiting,72335,0,0,0,13/08/2012,2,1285,105,653,28,21,0,2092,1,10,8,8,1,0,Spain,0
4114,1965,61,Masters Degree,Married,79143,0,0,0,11/08/2012,2,650,37,780,27,167,32,1693,1,6,13,3,0,0,Australia,0
7990,1948,78,Bachelors Degree,Married,27469,0,0,0,02/08/2012,2,9,1,2,3,2,0,17,1,0,3,6,0,0,Canada,0
9888,1970,56,Bachelors Degree,Cohabiting,68695,0,0,0,25/06/2014,3,458,81,356,106,50,40,1091,1,4,7,2,0,0,Spain,0
4399,1970,56,Bachelors Degree,Cohabiting,68695,0,0,0,25/06/2014,3,458,81,356,106,50,40,1091,1,4,7,2,0,0,Canada,0
4452,1958,68,Bachelors Degree,Single,50388,0,1,1,28/05/2014,3,292,6,37,0,3,34,372,4,6,6,7,1,0,Germany,2
4785,1971,55,Doctorate (PhD),Cohabiting,77622,0,2,2,14/04/2014,3,520,7,154,19,0,14,714,2,6,11,3,0,0,South Africa,0
8461,1963,63,Bachelors Degree,Divorced,46102,2,1,3,10/03/2014,3,14,0,1,0,0,1,16,1,1,2,7,0,0,Spain,0
3878,1981,45,Postgraduate,Single,31859,1,0,1,27/02/2014,3,3,4,7,15,8,11,48,1,1,3,7,0,0,Spain,0
9612,1988,38,Postgraduate,Single,23830,0,0,0,07/02/2014,3,1,8,6,4,8,16,43,1,1,3,7,0,0,Spain,0
4098,1974,52,Bachelors Degree,Married,24639,1,1,2,28/01/2014,3,20,3,16,0,4,1,44,3,2,4,6,0,0,Australia,0
158,1946,80,Doctorate (PhD),Cohabiting,71604,0,0,0,17/11/2013,3,345,53,528,98,75,97,1196,1,8,5,4,1,0,Spain,1
3896,1985,41,Bachelors Degree,Married,27255,1,0,1,07/11/2013,3,22,1,11,0,1,2,37,1,1,3,7,0,0,Spain,0
9970,1978,48,Bachelors Degree,Cohabiting,55375,0,1,1,17/10/2013,3,42,11,57,10,28,14,162,1,1,6,2,0,0,Canada,0
4002,1961,65,Doctorate (PhD),Married,77037,0,1,1,13/10/2013,3,463,96,333,168,53,10,1123,1,7,12,3,0,0,Spain,0
10914,1971,55,Bachelors Degree,Single,24163,1,1,2,12/10/2013,3,4,1,7,2,1,2,17,2,1,3,4,0,0,Spain,0
7279,1970,56,Doctorate (PhD),Cohabiting,69476,0,0,0,30/09/2013,3,260,86,559,63,9,67,1044,1,4,4,2,0,0,United States,0
10582,1980,46,Bachelors Degree,Married,72063,0,1,1,03/07/2013,3,180,32,348,76,32,90,758,2,5,12,2,0,0,Germany,0
4470,1963,63,Masters Degree,Married,58646,0,1,1,10/06/2013,3,62,1,44,6,5,22,140,1,2,4,4,0,0,Spain,0
6183,1963,63,Masters Degree,Married,58646,0,1,1,10/06/2013,3,62,1,44,6,5,22,140,1,2,4,4,0,0,Germany,0
6379,1950,76,Masters Degree,Widow,47570,1,1,2,29/05/2013,3,67,1,20,0,2,31,121,3,2,2,7,1,0,United States,0
8601,1981,45,Bachelors Degree,Married,80011,0,1,1,29/04/2013,3,421,76,536,82,178,102,1395,2,8,5,4,0,0,Australia,0
4827,1957,69,Doctorate (PhD),Single,54998,0,1,1,10/03/2013,3,154,22,202,39,30,8,455,5,4,9,4,1,0,Spain,0
6715,1949,77,Doctorate (PhD),Single,60200,0,1,1,02/01/2013,3,502,19,132,0,6,26,685,6,6,11,6,0,0,Spain,0
10676,1983,43,Bachelors Degree,Married,63211,0,0,0,02/11/2012,3,145,193,459,205,26,145,1173,2,3,7,2,1,0,Spain,0
1041,1974,52,Doctorate (PhD),Single,48432,0,1,1,18/10/2012,3,322,3,50,4,3,42,424,5,7,6,8,1,0,South Africa,0
492,1974,52,Doctorate (PhD),Unknown,48432,0,1,1,18/10/2012,3,322,3,50,4,3,42,424,5,7,6,8,0,0,Canada,0
11133,1974,52,Doctorate (PhD),Unknown,48432,0,1,1,18/10/2012,3,322,3,50,4,3,42,424,5,7,6,8,1,0,India,0
4491,1950,76,Masters Degree,Married,62845,1,1,2,01/10/2012,3,1099,0,45,0,0,34,1178,11,3,10,8,0,0,Spain,1
873,1950,76,Masters Degree,Married,62845,1,1,2,01/10/2012,3,1099,0,45,0,0,34,1178,11,3,10,8,1,0,Spain,1
1631,1966,60,Doctorate (PhD),Cohabiting,65220,0,0,0,03/09/2012,3,890,63,292,0,25,12,1282,4,8,7,6,1,0,Germany,0
8278,1991,35,Doctorate (PhD),Married,74214,0,0,0,26/08/2012,3,863,83,547,86,99,33,1711,1,8,5,5,0,0,Spain,0
6815,1981,45,Postgraduate,Married,96547,0,0,0,23/05/2014,4,448,21,125,52,101,62,809,0,7,8,2,1,0,Spain,3
254,1956,70,Bachelors Degree,Cohabiting,53863,0,1,1,17/05/2014,4,399,4,30,6,4,30,473,3,7,7,7,0,0,Spain,1
1349,1971,55,Bachelors Degree,Married,50447,2,0,2,21/04/2014,4,85,7,24,2,3,27,148,1,3,3,6,0,0,India,0
2534,1954,72,Bachelors Degree,Married,37716,0,1,1,21/04/2014,4,97,1,41,6,2,41,188,2,4,3,7,0,0,Australia,0
2130,1983,43,Bachelors Degree,Cohabiting,45203,2,0,2,23/03/2014,4,35,3,67,10,8,24,147,1,3,3,6,1,0,South Africa,0
2296,1976,50,Masters Degree,Married,37368,1,0,1,16/12/2013,4,3,2,11,2,2,10,30,1,1,2,6,0,0,Spain,1
3799,1956,70,Bachelors Degree,Married,67225,0,1,1,26/11/2013,4,315,35,322,46,7,143,868,3,7,11,5,0,0,United States,0
11084,1977,49,Masters Degree,Cohabiting,65104,0,1,1,14/11/2013,4,738,0,232,13,20,50,1053,2,3,7,7,1,0,Canada,0
5172,1977,49,Masters Degree,Cohabiting,65104,0,1,1,14/11/2013,4,738,0,232,13,20,50,1053,2,3,7,7,0,0,Spain,0
9504,1950,76,Masters Degree,Married,81698,0,0,0,06/11/2013,4,179,28,520,111,123,47,1008,1,3,13,1,1,0,Spain,0
850,1969,57,Bachelors Degree,Single,70566,0,1,1,06/10/2013,4,381,28,215,84,28,21,757,2,6,9,3,0,0,Spain,0
4477,1959,67,Bachelors Degree,Cohabiting,69096,0,1,1,27/09/2013,4,247,49,159,7,82,109,653,1,5,10,4,0,0,Germany,0
1945,1963,63,Bachelors Degree,Married,71434,0,1,1,18/09/2013,4,711,36,217,172,96,168,1400,3,7,7,4,0,0,Spain,2
7685,1979,47,Bachelors Degree,Married,33039,1,0,1,09/09/2013,4,30,8,12,8,8,12,78,1,2,4,5,0,0,Spain,0
6310,1979,47,Bachelors Degree,Married,33039,1,0,1,09/09/2013,4,30,8,12,8,8,12,78,1,2,4,5,0,0,Canada,0
10832,1959,67,Bachelors Degree,Cohabiting,46610,0,0,0,18/07/2013,4,288,10,30,4,10,125,467,1,6,6,6,0,0,Spain,0
3025,1959,67,Bachelors Degree,Single,49967,0,1,1,08/07/2013,4,212,6,69,4,12,3,306,3,6,5,7,0,0,Canada,0
2404,1977,49,Bachelors Degree,Married,53359,1,1,2,27/05/2013,4,173,4,30,3,6,41,257,4,5,4,7,0,0,United States,0
8581,1972,54,Masters Degree,Married,49505,1,1,2,05/03/2013,4,604,0,100,19,0,28,751,9,10,8,8,0,0,Spain,0
8755,1947,79,Masters Degree,Married,68657,0,0,0,20/02/2013,4,482,34,471,119,68,22,1196,1,3,9,7,0,0,Australia,0
10177,1955,71,Bachelors Degree,Divorced,72071,0,1,1,14/02/2013,4,531,69,300,150,138,150,1338,3,5,8,2,0,0,Spain,0
2429,1955,71,Bachelors Degree,Divorced,72071,0,1,1,14/02/2013,4,531,69,300,150,138,150,1338,3,5,8,2,0,0,Canada,0
8920,1968,58,Masters Degree,Single,59235,1,0,1,12/01/2013,4,448,40,469,80,0,91,1128,3,11,12,7,0,0,India,0
8430,1958,68,Bachelors Degree,Cohabiting,21994,0,1,1,24/12/2012,4,9,0,6,3,1,3,22,1,0,3,5,0,0,Australia,0
8619,1958,68,Bachelors Degree,Cohabiting,21994,0,1,1,24/12/2012,4,9,0,6,3,1,3,22,1,0,3,5,0,0,Spain,0
7233,1973,53,Bachelors Degree,Married,69209,0,0,0,17/09/2012,4,496,32,849,229,48,128,1782,2,5,6,4,0,0,Canada,1
6678,1990,36,Bachelors Degree,Cohabiting,31928,1,0,1,28/03/2014,5,33,4,24,4,2,5,72,2,3,4,7,0,0,India,0
830,1988,38,Doctorate (PhD),Single,74004,0,0,0,24/02/2014,5,784,48,560,42,176,48,1658,1,4,4,3,1,0,India,2
6365,1988,38,Postgraduate,Married,30390,0,0,0,02/09/2013,5,10,12,12,25,1,20,80,1,2,3,6,0,0,India,0
6770,1986,40,Bachelors Degree,Married,21355,1,0,1,20/08/2013,5,5,13,14,0,5,31,68,2,2,2,6,1,0,United States,1
2261,1970,56,Bachelors Degree,Married,26304,1,0,1,23/06/2013,5,4,1,5,2,0,4,16,1,1,2,7,0,0,Germany,0
1031,1990,36,Postgraduate,Married,85710,0,0,0,05/05/2013,5,600,20,350,29,30,33,1062,1,6,10,2,0,0,India,1
10089,1975,51,Bachelors Degree,Divorced,102692,0,0,0,05/04/2013,5,168,148,444,32,172,148,1112,1,6,13,2,1,0,South Africa,4
9256,1972,54,Bachelors Degree,Single,58350,0,1,1,04/01/2013,5,493,26,206,116,80,80,1001,4,8,12,6,0,0,Spain,0
10641,1979,47,Bachelors Degree,Single,7500,1,1,2,27/12/2012,5,6,5,4,13,4,25,57,4,2,3,6,0,0,Spain,0
624,1985,41,Masters Degree,Single,18890,0,0,0,10/11/2012,5,6,4,1,7,2,15,35,1,0,2,6,1,0,South Africa,1
4211,1987,39,Secondary Education,Married,20425,1,0,1,29/10/2012,5,4,12,5,3,16,17,57,2,2,3,7,0,0,Canada,0
1407,1987,39,Secondary Education,Married,20425,1,0,1,29/10/2012,5,4,12,5,3,16,17,57,2,2,3,7,0,0,Germany,0
10356,1958,68,Doctorate (PhD),Divorced,41437,1,1,2,22/09/2012,5,29,0,2,0,0,1,32,1,1,3,7,0,0,Spain,0
9323,1950,76,Masters Degree,Cohabiting,49912,0,1,1,07/09/2012,5,520,8,223,32,49,42,874,4,10,7,8,1,0,Montenegro,1
1146,1950,76,Masters Degree,Cohabiting,49912,0,1,1,07/09/2012,5,520,8,223,32,49,42,874,4,10,7,8,1,0,Australia,1
6343,1960,66,Bachelors Degree,Married,79823,0,1,1,31/03/2014,6,835,73,380,114,73,43,1518,1,6,7,2,0,0,Australia,1
8545,1955,71,Bachelors Degree,Divorced,85683,0,0,0,21/03/2014,6,1296,17,311,45,69,51,1789,1,2,10,1,1,0,Spain,4
8275,1966,60,Doctorate (PhD),Divorced,47025,1,1,2,09/02/2014,6,16,0,3,0,0,1,20,1,1,2,7,0,0,Spain,0
10673,1977,49,Doctorate (PhD),Married,68397,0,1,1,17/11/2013,6,760,80,466,17,13,80,1416,1,6,5,3,0,0,South Africa,0
8799,1985,41,Doctorate (PhD),Married,38175,1,0,1,23/09/2013,6,70,6,69,2,3,3,153,3,3,4,7,0,0,Spain,0
67,1973,53,Masters Degree,Single,46423,1,1,2,18/09/2013,6,68,0,16,0,0,8,92,3,2,4,7,0,0,Spain,0
2814,1977,49,Masters Degree,Cohabiting,30560,1,0,1,27/06/2013,6,9,1,5,4,5,7,31,1,1,3,7,0,0,South Africa,0
2711,1977,49,Masters Degree,Cohabiting,30560,1,0,1,27/06/2013,6,9,1,5,4,5,7,31,1,1,3,7,0,0,Canada,0
4320,1980,46,Bachelors Degree,Single,60152,0,1,1,28/03/2013,6,325,83,300,86,58,91,943,1,6,12,3,0,0,Spain,0
10451,1966,60,Bachelors Degree,Cohabiting,29672,1,1,2,12/03/2013,6,9,1,3,0,4,8,25,1,0,3,6,0,0,South Africa,0
4198,1966,60,Bachelors Degree,Cohabiting,29672,1,1,2,12/03/2013,6,9,1,3,0,4,8,25,1,0,3,6,0,0,Spain,0
10814,1948,78,Bachelors Degree,Cohabiting,70321,0,0,0,16/01/2013,6,303,23,751,82,26,191,1376,1,6,13,4,1,0,Spain,0
944,1963,63,Bachelors Degree,Married,56181,0,1,1,08/01/2013,6,121,103,69,8,44,48,393,1,4,7,4,0,0,Spain,0
8151,1991,35,Secondary Education,Married,24279,0,0,0,29/12/2012,6,16,36,21,20,62,108,263,1,4,3,8,0,0,Spain,0
6184,1970,56,Doctorate (PhD),Married,68462,0,0,0,12/12/2012,6,561,64,785,84,128,48,1670,1,3,8,1,0,0,Spain,0
3498,1977,49,Doctorate (PhD),Married,55424,0,1,1,25/11/2012,6,462,61,184,10,53,107,877,4,7,9,6,1,0,Spain,1
2870,1974,52,Bachelors Degree,Married,49094,0,1,1,21/09/2012,6,376,0,38,11,8,69,502,5,6,6,6,0,0,Spain,0
7342,1962,64,Postgraduate,Widow,59184,0,1,1,09/09/2012,6,341,142,113,259,151,66,1072,3,6,12,5,0,0,Spain,0
1911,1988,38,Bachelors Degree,Cohabiting,67430,0,0,0,05/09/2012,6,595,97,291,127,133,121,1364,1,11,12,6,0,0,Germany,0
10862,1961,65,Masters Degree,Married,30522,0,1,1,17/08/2012,6,179,8,83,19,11,26,326,5,1,9,2,0,0,Spain,0
2546,1978,48,Postgraduate,Single,31878,0,1,1,22/06/2014,7,23,4,5,10,5,23,70,1,1,4,3,0,0,Spain,0
3005,1993,33,Bachelors Degree,Single,83528,0,0,0,01/05/2014,7,530,117,678,134,44,147,1650,1,4,8,1,1,0,Spain,2
8318,1980,46,Bachelors Degree,Cohabiting,90300,0,0,0,03/01/2014,7,594,134,786,33,134,57,1738,0,5,8,1,0,0,Spain,1
2930,1979,47,Masters Degree,Single,68092,0,0,0,16/12/2013,7,852,60,207,78,36,48,1281,2,2,10,5,0,0,South Africa,0
8216,1973,53,Masters Degree,Married,53761,1,1,2,11/10/2013,7,158,0,76,13,7,71,325,6,4,3,5,0,0,Australia,0
1212,1974,52,Bachelors Degree,Married,52845,1,0,1,13/08/2013,7,384,25,292,130,41,64,936,3,8,6,6,0,0,Spain,1
2541,1977,49,Bachelors Degree,Married,24027,1,0,1,09/06/2013,7,14,7,11,11,0,5,48,2,2,3,8,0,0,Spain,0
10659,1980,46,Postgraduate,Cohabiting,7500,1,0,1,07/05/2013,7,2,8,11,3,8,21,53,4,3,2,7,0,0,India,0
10905,1956,70,Bachelors Degree,Cohabiting,42586,1,1,2,29/10/2012,7,194,2,56,0,0,0,252,5,4,6,8,1,0,Spain,0
7349,1974,52,Secondary Education,Cohabiting,9722,1,0,1,02/10/2012,7,6,17,16,6,16,42,103,4,3,3,8,1,0,Spain,0
7872,1976,50,Doctorate (PhD),Married,86836,0,0,0,12/09/2012,7,179,21,273,0,21,63,557,1,6,6,5,1,0,Spain,3
4290,1973,53,Bachelors Degree,Married,30467,1,0,1,19/03/2014,8,1,3,8,2,5,5,24,1,1,2,7,0,0,Canada,0
7408,1953,73,Doctorate (PhD),Married,54549,0,1,1,03/03/2014,8,216,2,6,0,0,9,233,2,5,4,7,0,0,South Africa,0
9986,1983,43,Bachelors Degree,Cohabiting,19444,1,0,1,22/02/2014,8,16,0,23,3,2,10,54,3,4,2,7,1,0,South Africa,0
8235,1957,69,Masters Degree,Cohabiting,69245,0,1,1,24/01/2014,8,428,30,214,80,30,61,843,2,6,10,3,0,0,South Africa,0
10949,1964,62,Doctorate (PhD),Divorced,72968,0,0,0,16/12/2013,8,1092,37,592,145,37,55,1958,1,5,8,3,1,0,Spain,1
7284,1954,72,Bachelors Degree,Married,48686,1,2,3,04/12/2013,8,10,0,7,2,0,1,20,1,1,2,8,0,0,Spain,0
9529,1991,35,Bachelors Degree,Married,73687,0,0,0,28/11/2013,8,559,153,503,218,13,181,1627,1,3,9,2,1,0,South Africa,1
9930,1945,81,Doctorate (PhD),Single,82716,0,0,0,05/11/2013,8,606,148,228,15,148,22,1167,1,6,13,2,0,0,Canada,0
10270,1982,44,Postgraduate,Married,35523,1,0,1,03/10/2013,8,11,5,22,12,5,11,66,2,3,3,7,0,0,Germany,0
760,1976,50,Doctorate (PhD),Divorced,60554,1,0,1,09/08/2013,8,588,7,76,110,15,15,811,2,8,9,6,0,0,South Africa,0
5519,1957,69,Bachelors Degree,Cohabiting,64090,0,1,1,07/08/2013,8,316,58,161,76,51,135,797,1,6,4,5,1,0,South Africa,0
232,1966,60,Bachelors Degree,Single,61559,0,1,1,17/07/2013,8,279,83,88,32,14,34,530,1,4,10,3,0,0,Spain,0
3009,1963,63,Doctorate (PhD),Widow,71670,0,0,0,09/07/2013,8,1462,16,128,0,0,160,1766,1,5,6,6,1,0,Spain,3
